id,title,so_ky_hieu,ngay_ban_hanh,loai_van_ban,ngay_co_hieu_luc,ngay_het_hieu_luc,nguon_thu_thap,ngay_dang_cong_bao,nganh,linh_vuc,co_quan_ban_hanh,chuc_danh,nguoi_ky,pham_vi,tinh_trang_hieu_luc,year_of_issue
26015,Ban hành Bộ chương trình khung giáo dục đại học khối ngành Công nghệ trình độ đại học và cao đẳng,37/2009/TT-BGDĐT,2009-12-14,Thông tư,28/01/2010,,"Công báo số 601+602, năm 2009",30/12/2009,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Phạm Vũ Luận,Toàn quốc,Còn hiệu lực,2009
24100,Về việc phê duyệt Hiệp định hợp tác giữa Chính phủ nước Cộng hòa xã hội chủ nghĩa Việt Nam và Chính phủ nước Cộng hòa Ăng-gô-la trong lĩnh vực giáo dục đại học và đào tạo cán bộ,92/2008/QĐ-TTg,2008-07-10,Quyết định,10/07/2008,,,...,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Phạm Gia Khiêm,Toàn quốc,Còn hiệu lực,2008
25098,"Ban hành chương trình khung Giáo dục đại học ngành Công tác xã hội trình độ đại học, cao đẳng",10/2010/TT-BGDĐT,2010-03-22,Thông tư,11/05/2010,,"Công báo số 157+158, năm 2010",12/04/2010,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Phạm Vũ Luận,Toàn quốc,Còn hiệu lực,2010
25091,"Ban hành Bộ chương trình khung giáo dục đại học khối ngành Khoa học Sức khỏe, trình độ cao đẳng",11/2010/TT-BGDĐT,2010-03-23,Thông tư,07/05/2010,,"Công báo số 153+154, năm 2010",08/04/2010,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Phạm Vũ Luận,Toàn quốc,Còn hiệu lực,2010
25075,"Ban hành Quy chế Học viên các trường đại học, cao đẳng và trung cấp chuyên nghiệp hình thức vừa làm vừa học",09/2010/TT-BGDĐT,2010-03-10,Thông tư,28/04/2010,,"Công báo số 135+136, năm 2010",28/03/2010,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Trần Quang Quý,Toàn quốc,Còn hiệu lực,2010
23124,Về đổi tên Trường Đại học Sư phạm Vinh thành Trường Đại học Vinh,62/2001/QĐ-TTg,2001-04-25,Quyết định,10/05/2001,,Công báo số 20;,31/05/2001,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Phạm Gia Khiêm,Toàn quốc,Còn hiệu lực,2001
23554,Về việc tổ chức lại Đại học Quốc gia Hà Nội,14/2001/QĐ-TTg,2001-02-12,Quyết định,27/02/2001,,"Công báo số 10, năm 2001",15/03/2001,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Thủ tướng,Phan Văn Khải,Toàn quốc,Còn hiệu lực,2001
23553,Về việc tổ chức lại Đại học Quốc gia thành phố Hồ Chí Minh.,15/2001/QĐ-TTg,2001-02-12,Quyết định,27/02/2001,,"Công báo số 10, năm 2001",15/03/2001,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Thủ tướng,Phan Văn Khải,Toàn quốc,Còn hiệu lực,2001
23708,"Ban hành Quy chế ngoại trú của học sinh, sinh viên các trường đại học, cao đẳng, trung cấp chuyên nghiệp hệ chính quy",27/2009/TT-BGDĐT,2009-10-19,Thông tư,02/12/2009,,"Công báo số 505+506, năm 2009",05/11/2009,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Nguyễn Vinh Hiển,Toàn quốc,Còn hiệu lực,2009
23339,"Về việc ban hành ""Quy chế tổ chức thi tuyển sinh sau đại học đào tạo tại các cơ sở nước ngoài bằng ngân sách nhà nước""",20/2001/QĐ-BGDĐT,2001-06-06,Quyết định,21/06/2001,,Công báo số 28,31/07/2001,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Bộ trưởng,Nguyễn Minh Hiển,Toàn quốc,Còn hiệu lực,2001
23447,"Về việc ban hành chương trình khung các ngành đào tạo đại học, cao đẳng thuộc nhóm ngành Khoa học sức khoẻ",12/2001/QĐ-BGDĐT,2001-04-26,Quyết định,11/05/2001,,"Công báo số 27, năm 2001",...,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Vũ Ngọc Hải,Toàn quốc,Còn hiệu lực,2001
26483,"Về việc ban hành ""Quy chế tuyển sinh vào các trường Đại học, Cao đằng, Trung học chuyên nghiệp hệ chính quy""",05/1999/QĐ-BGDĐT,1999-02-23,Quyết định,10/03/1999,,,...,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Bộ trưởng,Nguyễn Minh Hiển,Toàn quốc,Còn hiệu lực,1999
34041,Quy định chính sách hỗ trợ chi phí học tập đối với sinh viên là người dân tộc thiểu số học tại các cơ sở giáo dục đại học,66/2013/QĐ-TTg,2013-11-11,Quyết định,01/01/2014,,"Công báo số 817+818, năm 2013",25/11/2013,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Nguyễn Thiện Nhân,Toàn quốc,Còn hiệu lực,2013
40232,"hướng dẫn tuyển thẳng và ưu tiên xét tuyển vào đại học, cao đẳng năm 2008",1919/BGDĐT-ĐH&SĐH,2008-03-10,Quyết định,10/03/2008,,,...,Giáo dục và đào tạo,"Quy chế thi, tuyển sinh",Bộ Giáo dục và Đào tạo,Thứ trưởng thường trực,Bành Tiến Long,Toàn quốc,Còn hiệu lực,2008
45225,Quy định về việc chuyển đổi loại hình trường đại học dân lập sang loại hình trường đại học tư thục,45/2014/TT-BGDĐT,2014-12-17,Thông tư,01/02/2015,,,...,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Bộ trưởng,Phạm Vũ Luận,Toàn quốc,Còn hiệu lực,2014
52735,Về ban hành Kế hoạch tổ chức cuộc vận động “Nói không với tiêu cực trong thi cử và bệnh thành tích trong giáo dục”,3859/QĐ-BGDĐT,2006-07-28,Quyết định,28/07/2006,,,...,Giáo dục và đào tạo,"Quy chế thi, tuyển sinh",Bộ Giáo dục và Đào tạo,Bộ trưởng,Nguyễn Thiện Nhân,Toàn quốc,Còn hiệu lực,2006
60012,Về việc đầu tư xây dựng nhà Trung tâm đào tạo Trường Đại học Kinh tế Quốc dân,124/QĐ-TTg,2003-01-28,Quyết định,12/02/2003,,Số 12,28/02/2003,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó  Thủ tướng,Phạm Gia Khiêm,Toàn quốc,Còn hiệu lực,2003
71493,"Sửa đổi, bổ sung một số điều của Quy chế đào tạo đại học và cao đẳng hệ chính quy theo hệ thống tín chỉ ban hành kèm theo Quyết định số 43/2007/QĐ-BGDĐT  ngày 15 tháng 8 năm 2007 của Bộ trưởng Bộ Giáo dục và Đào tạo",67/2005/QĐ-UBND,2009-06-30,Quyết định,10/02/2013,,Công báo số 35 đến số 36,21/01/2013,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Bành Tiến Long,Toàn quốc,Còn hiệu lực,2009
72008,"Phê duyệt đề án “Đào tạo giáo viên, giảng viên giáo dục quốc phòng và an ninh cho các trường trung học phổ thông, trung cấp chuyên nghiệp, trung cấp nghề, cao đẳng nghề và các cơ sở giáo dục đại học đến năm 2020”",607/QĐ-TTg,2014-04-24,Quyết định,24/04/2014,,,...,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Vũ Đức Đam,Toàn quốc,Còn hiệu lực,2014
71380,Ban hành Đề cương chi tiết 11 môn học dự bị đại học,48/2012/TT-BGDĐT,2012-12-11,Thông tư,25/01/2013,,,...,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Bùi Văn Ga,Toàn quốc,Còn hiệu lực,2012
82965,"Hướng dẫn mức thi bồi dưỡng cho công tác ra đề thi và tổ chức các kỳ thi học sinh giỏi, thi quốc tế và thi tốt nghiệp",47/2001/TTLT-BTC-BGDĐT,2001-06-20,Thông tư liên tịch,01/05/2001,,"Công báo số 30, năm 2001",15/08/2001,Giáo dục và đào tạo,"Quy chế thi, tuyển sinh",Bộ Tài chính,Thứ trưởng,Nguyễn Thị Kim Ngân,Toàn quốc,Còn hiệu lực,2001
87238,Về đổi tên Trường Đại học Nông nghiệp I thành Trường Đại học Nông nghiệp Hà Nội,283/QĐ-TTg,2008-03-14,Quyết định,14/03/2008,,,...,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Thủ tướng,Nguyễn Tấn Dũng,Toàn quốc,Còn hiệu lực,2008
92460,Quy định về chương trình môn học Giáo dục thể chất thuộc các chương trình đào tạo trình độ đại học,25/2015/TT-BGDĐT,2015-10-14,Thông tư,29/11/2015,,,...,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Bùi Văn Ga,Toàn quốc,Còn hiệu lực,2015
87404,"Phê duyệt đề án ""Đào tạo theo chương trình tiên tiến tại một số Trường Đại học Việt Nam giai đoạn 2008 - 2015""",1505/QĐ-TTg,2008-10-15,Quyết định,15/10/2008,,,...,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó  Thủ tướng,Nguyễn Thiện Nhân,Toàn quốc,Còn hiệu lực,2008
123136,"Quy định về liên thông giữa trình độ trung cấp,  trình độ cao đẳng với trình độ đại học",18/2017/QĐ-TTg,2017-05-31,Quyết định,15/07/2017,,,...,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Thủ tướng Chính phủ,Nguyễn Xuân Phúc,Toàn quốc,Còn hiệu lực,2017
123137,Ban hành Quy định về kiểm định chất lượng cơ sở giáo dục đại học,12/2017/TT-BGDĐT,2017-05-19,Thông tư,04/07/2017,,bản lưu,...,Giáo dục và đào tạo,Giáo dục đại học Khảo thí và Kiểm định chất lượng,Bộ Giáo dục và Đào tạo,Thứ trưởng,Bùi Văn Ga,Toàn quốc,Còn hiệu lực,2017
128607,"Ban hành ""Chương trình Đại học sư phạm Âm nhạc"" áp dụng tạm thời cho việc đào tạo cử nhân sư phạm Âm nhạc tại Nhạc viện Hà Nội và Nhạc viện Thành phố Hồ Chí Minh",02/2000/QĐ-BGD&ĐT,2000-03-04,Quyết định,19/03/2000,,,...,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo Dục và Ðào Tạo,Bộ trưởng,Nguyễn Minh Hiển,Toàn quốc,Còn hiệu lực,2000
128807,Ban hành Bộ Chương trình khung giáo dục đại học ngành Giáo dục Tiểu học trình độ cao đẳng,17/2004/QĐ-BGD&ĐT,2004-06-16,Quyết định,01/07/2004,,bản lưu,...,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo Dục và Ðào Tạo,Thứ trưởng,Trần Văn Nhung,Toàn quốc,Còn hiệu lực,2004
128393,hướng dẫn thi hành một số điều của Quy chế trường đại học dân lập liên quan đến tổ chức và nhân sự,02/2002/TT-BGD&ĐT,2002-01-22,Thông tư,06/02/2002,,bản lưu,...,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Trần Văn Nhung,Toàn quốc,Còn hiệu lực,2002
128380,Ban hành Quy chế Trường đại học dân lập,86/2000/QĐ-TTg,2000-07-18,Quyết định,02/08/2000,,bản lưu,...,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng Chính phủ,Phạm Gia Khiêm,Toàn quốc,Còn hiệu lực,2000
128475,"hướng dẫn một số chính sách để thực hiện Quyết định số 494/QĐ-TTg ngày 24/6/2002 của Thủ tướng Chính phủ phê duyệt đề án ""Một số biện pháp nâng cao chất lượng và hiệu quả giảng dạy, học tập các bộ môn khoa học Mác - Lênin, tư tưởng Hồ Chí Minh trong các trường đại học, cao đẳng, môn Chính trị trong các trường trung học chuyên nghiệp và dạy nghề""",42/2003/TTLT-BGDĐT-BTC,2003-08-29,Thông tư liên tịch,13/09/2003,,bản lưu,...,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Đặng Huỳnh Mai,Toàn quốc,Còn hiệu lực,2003
128469,hướng dẫn việc chuyển đổi các văn bằng và trình độ đào tạo sau đại học trong lĩnh vực y tế,30/2003/TTLT-BGDĐT-BYT,2003-07-01,Thông tư liên tịch,16/07/2003,,bản lưu,...,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Bộ trưởng,Nguyễn Minh Hiển,Toàn quốc,Còn hiệu lực,2003
